method,modality,benchmark,seed,source,ACC,AUC,AUPR,SEN,SPEC,F1,MCC
AMP-BERT,Sequence,benchmark1,32,/home/20T-1/fyh0106/SUCF/baseline/AMP-BERT/protocol_matched_runs/benchmark1_seed32/seed_32/test_metrics.json,0.9080056179775281,0.9594087315364221,0.9624319890562839,0.848314606741573,0.9676966292134831,0.9021657953696787,0.8218890630231902
AMP-BERT,Sequence,benchmark1,37,/home/20T-1/fyh0106/SUCF/baseline/AMP-BERT/protocol_matched_runs/benchmark1_seed37/seed_37/test_metrics.json,0.910814606741573,0.9659498879560662,0.9712992414584571,0.8637640449438202,0.9578651685393258,0.9064112011790715,0.8252913247248088
AMP-BERT,Sequence,benchmark1,42,/home/20T-1/fyh0106/SUCF/baseline/AMP-BERT/protocol_matched_runs/benchmark1_seed42/seed_42/test_metrics.json,0.925561797752809,0.9717276464461558,0.9742212600408255,0.9101123595505618,0.9410112359550562,0.9243937232524965,0.8515301877818002
AMP-BERT,Sequence,benchmark1,47,/home/20T-1/fyh0106/SUCF/baseline/AMP-BERT/protocol_matched_runs/benchmark1_seed47/seed_47/test_metrics.json,0.9220505617977528,0.9715264407903043,0.9751861248226013,0.9171348314606742,0.9269662921348315,0.92166549047283,0.8441419209554569
AMP-BERT,Sequence,benchmark1,52,/home/20T-1/fyh0106/SUCF/baseline/AMP-BERT/protocol_matched_runs/benchmark1_seed52/seed_52/test_metrics.json,0.9199438202247191,0.966489395278374,0.9691311549714615,0.9044943820224719,0.9353932584269663,0.9186875891583453,0.8402888651708195
PepNet,Sequence,benchmark1,32,/home/20T-1/fyh0106/SUCF/outputs/pepnet_same_split/pepnet_same_split_results.csv,0.9234550561797752,0.9823609708370156,0.9844967436932476,0.8904494382022472,0.9564606741573034,0.9208424110384896,0.8487613629803726
PepNet,Sequence,benchmark1,37,/home/20T-1/fyh0106/SUCF/outputs/pepnet_same_split/pepnet_same_split_results.csv,0.9241573033707864,0.9816015181163996,0.9839375434958786,0.8932584269662921,0.9550561797752808,0.9217391304347824,0.8499391018699486
PepNet,Sequence,benchmark1,42,/home/20T-1/fyh0106/SUCF/outputs/pepnet_same_split/pepnet_same_split_results.csv,0.9332865168539326,0.9821380665320034,0.9843668699188076,0.922752808988764,0.9438202247191012,0.9325762952448544,0.8667654059034154
PepNet,Sequence,benchmark1,47,/home/20T-1/fyh0106/SUCF/outputs/pepnet_same_split/pepnet_same_split_results.csv,0.9234550561797752,0.980763161217018,0.9833582762534804,0.8792134831460674,0.9676966292134832,0.919911829537105,0.8502450505334086
PepNet,Sequence,benchmark1,52,/home/20T-1/fyh0106/SUCF/outputs/pepnet_same_split/pepnet_same_split_results.csv,0.925561797752809,0.981980258174473,0.9839991250360466,0.8974719101123596,0.9536516853932584,0.9234104046242774,0.8524699274482634
CARS-AMP,Sequence,benchmark1,32,/home/fyh0106/SUCF/outputs/baselines_2026/cars_amp/benchmark1/seed32/metrics.json,0.8806179775280899,0.9452128834743087,0.9535253797015114,0.8356741573033708,0.925561797752809,0.875,0.7643300298644743
CARS-AMP,Sequence,benchmark1,37,/home/fyh0106/SUCF/outputs/baselines_2026/cars_amp/benchmark1/seed37/metrics.json,0.8742977528089888,0.941780551698018,0.9433640348241931,0.8370786516853933,0.9115168539325843,0.8694383661560905,0.7506781657609932
CARS-AMP,Sequence,benchmark1,42,/home/fyh0106/SUCF/outputs/baselines_2026/cars_amp/benchmark1/seed42/metrics.json,0.8855337078651685,0.9492586952404999,0.9496002469009546,0.8834269662921348,0.8876404494382022,0.8852920478536241,0.7710742603711104
CARS-AMP,Sequence,benchmark1,47,/home/fyh0106/SUCF/outputs/baselines_2026/cars_amp/benchmark1/seed47/metrics.json,0.8834269662921348,0.9466666929680595,0.9438282110091711,0.848314606741573,0.9185393258426966,0.8791848617176127,0.768751829469189
CARS-AMP,Sequence,benchmark1,52,/home/fyh0106/SUCF/outputs/baselines_2026/cars_amp/benchmark1/seed52/metrics.json,0.889747191011236,0.946411240689307,0.9521221656895387,0.8595505617977528,0.9199438202247191,0.8863142650253439,0.7809198252499148
AMPidentifier,Sequence,benchmark1,32,/home/fyh0106/SUCF/outputs/baselines_2026/ampidentifier/benchmark1/seed32/metrics.json,0.8771067415730337,0.9387427408155536,0.9337676537160665,0.8974719101123596,0.8567415730337079,0.8795595320027529,0.7548398677495287
AMPidentifier,Sequence,benchmark1,37,/home/fyh0106/SUCF/outputs/baselines_2026/ampidentifier/benchmark1/seed37/metrics.json,0.8735955056179775,0.938541535159702,0.9350711386704331,0.8932584269662921,0.8539325842696629,0.8760330578512396,0.7477694558880826
AMPidentifier,Sequence,benchmark1,42,/home/fyh0106/SUCF/outputs/baselines_2026/ampidentifier/benchmark1/seed42/metrics.json,0.8742977528089888,0.9388551792702942,0.935449455432657,0.8918539325842697,0.8567415730337079,0.8764665286404417,0.7490573961402955
AMPidentifier,Sequence,benchmark1,47,/home/fyh0106/SUCF/outputs/baselines_2026/ampidentifier/benchmark1/seed47/metrics.json,0.8742977528089888,0.9389656451205657,0.9362468833961766,0.8918539325842697,0.8567415730337079,0.8764665286404417,0.7490573961402955
AMPidentifier,Sequence,benchmark1,52,/home/fyh0106/SUCF/outputs/baselines_2026/ampidentifier/benchmark1/seed52/metrics.json,0.8721910112359551,0.9384606583764676,0.9346423433851252,0.8918539325842697,0.8525280898876404,0.8746556473829201,0.7449582925200824
AMP-CapsNet,Sequence,benchmark1,32,/home/fyh0106/SUCF/outputs/baselines_2026/amp_capsnet/benchmark1/seed32/metrics.json,0.8476123595505618,0.9050920811766192,0.8894434730580794,0.8595505617977528,0.8356741573033708,0.84941013185288,0.6954229716599748
AMP-CapsNet,Sequence,benchmark1,37,/home/fyh0106/SUCF/outputs/baselines_2026/amp_capsnet/benchmark1/seed37/metrics.json,0.8398876404494382,0.8537589950763793,0.8180375693978387,0.8735955056179775,0.8061797752808989,0.8451086956521738,0.681325315221517
AMP-CapsNet,Sequence,benchmark1,42,/home/fyh0106/SUCF/outputs/baselines_2026/amp_capsnet/benchmark1/seed42/metrics.json,0.8588483146067416,0.929574075243025,0.9297784085686762,0.8497191011235955,0.8679775280898876,0.8575478384124734,0.7178162884507919
AMP-CapsNet,Sequence,benchmark1,47,/home/fyh0106/SUCF/outputs/baselines_2026/amp_capsnet/benchmark1/seed47/metrics.json,0.8419943820224719,0.9278322654967808,0.9242385876047068,0.7808988764044944,0.9030898876404494,0.8317127898279731,0.6891528600976172
AMP-CapsNet,Sequence,benchmark1,52,/home/fyh0106/SUCF/outputs/baselines_2026/amp_capsnet/benchmark1/seed52/metrics.json,0.8637640449438202,0.9294182394899634,0.920201180654049,0.8384831460674157,0.8890449438202247,0.8602305475504323,0.7284598378804878
esm-AxP-GDL,Sequence + structure,benchmark1,32,/home/20T-1/fyh0106/SUCF/outputs/esmaxp_gdl_same_split/benchmark1/seed32/metrics.json,0.9304775280898876,0.9731676477086227,0.9799213310785547,0.9058988764044944,0.9550561797752809,0.9287257019438445,0.8619971685347285
esm-AxP-GDL,Sequence + structure,benchmark1,37,/home/20T-1/fyh0106/SUCF/outputs/esmaxp_gdl_same_split/benchmark1/seed37/metrics.json,0.9382022471910112,0.9740198128392881,0.9805075084686437,0.9115168539325843,0.9648876404494382,0.9365079365079364,0.8776553604637426
esm-AxP-GDL,Sequence + structure,benchmark1,42,/home/20T-1/fyh0106/SUCF/outputs/esmaxp_gdl_same_split/benchmark1/seed42/metrics.json,0.9318820224719101,0.9656924630728442,0.9728598394609174,0.9030898876404494,0.9606741573033708,0.9298626174981922,0.8651997147643402
esm-AxP-GDL,Sequence + structure,benchmark1,47,/home/20T-1/fyh0106/SUCF/outputs/esmaxp_gdl_same_split/benchmark1/seed47/metrics.json,0.9325842696629213,0.9699868230021459,0.9786421920267053,0.9241573033707865,0.9410112359550562,0.9320113314447592,0.8652914432536334
esm-AxP-GDL,Sequence + structure,benchmark1,52,/home/20T-1/fyh0106/SUCF/outputs/esmaxp_gdl_same_split/benchmark1/seed52/metrics.json,0.9360955056179775,0.9675003550688045,0.9759149068986543,0.9044943820224719,0.9676966292134831,0.9340101522842639,0.8739382414821081
RCSF-AMP,Sequence + structure,benchmark1,32,/home/20T-1/fyh0106/SUCF/outputs/sequence_warmstart_no_residual_gate_min_screen_20260809/benchmark1_gate_min_0p15_seed32/logs/final_test_results_config_20260809_192535.json,0.9417134831460674,0.9842152190380001,0.9863086979216698,0.9185393258426966,0.9648876404494382,0.9403306973400432,0.8843773717924391
RCSF-AMP,Sequence + structure,benchmark1,37,/home/20T-1/fyh0106/SUCF/outputs/sequence_warmstart_no_residual_gmin015_confirm_20260809/benchmark1_no_residual_seed37/logs/final_test_results_config_20260809_230936.json,0.9403089887640449,0.9843749999999999,0.9862819440815334,0.9213483146067416,0.9592696629213483,0.9391553328561203,0.8812518381866333
RCSF-AMP,Sequence + structure,benchmark1,42,/home/20T-1/fyh0106/SUCF/outputs/sequence_warmstart_no_residual_gate_min_screen_20260809/benchmark1_gate_min_0p15_seed42/logs/final_test_results_config_20260809_192535.json,0.9424157303370787,0.9842507259184446,0.9859122399417478,0.9199438202247191,0.9648876404494382,0.9410919540229885,0.8857264731277037
RCSF-AMP,Sequence + structure,benchmark1,47,/home/20T-1/fyh0106/SUCF/outputs/sequence_warmstart_no_residual_gmin015_confirm_20260809/benchmark1_no_residual_seed47/logs/final_test_results_config_20260809_230936.json,0.9410112359550562,0.9837792734503219,0.9855827200949453,0.9283707865168539,0.9536516853932584,0.9402560455192034,0.8823044678882144
RCSF-AMP,Sequence + structure,benchmark1,52,/home/20T-1/fyh0106/SUCF/outputs/sequence_warmstart_no_residual_gate_min_screen_20260809/benchmark1_gate_min_0p15_seed52/logs/final_test_results_config_20260809_192535.json,0.9389044943820225,0.9836628897866431,0.9858283325208402,0.9185393258426966,0.9592696629213483,0.9376344086021505,0.8785380211237531
AMP-BERT,Sequence,benchmark2,32,/home/20T-1/fyh0106/SUCF/baseline/AMP-BERT/protocol_matched_runs/benchmark2_seed32/seed_32/test_metrics.json,0.8309677419354838,0.9057384596496971,0.9338528786275676,0.8355704697986577,0.8246951219512195,0.8507972665148064,0.6565858100487436
AMP-BERT,Sequence,benchmark2,37,/home/20T-1/fyh0106/SUCF/baseline/AMP-BERT/protocol_matched_runs/benchmark2_seed37/seed_37/test_metrics.json,0.8522580645161291,0.9272512890816828,0.9477381121121912,0.8814317673378076,0.8125,0.8731301939058171,0.6965107615210547
